[3211e65f-36f9-4514-b856-038534931c9c]
	general: name = W1A_Engineer_1
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 1
	spawn: zone = 0

[0b0c0c24-a9f7-4b04-a3e2-72f33b3d82ce]
	general: name = W1A_Emma
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 1
	spawn: zone = 0

[7830522d-7139-40f7-977e-f665bff000ee]
	general: name = W1A_Bmt_Generic
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 1
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 10
	spawn: zone = 0

[2464da7c-5a04-4739-8237-e7b23f5ffa4a]
	general: name = W1A_Surf_1
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 10
	spawn: zone = 0

[a0ee0049-ee12-403e-9148-172d9029cc7c]
	general: name = W1A_Bmt_Wicked
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 10
	spawn: zone = 0

[8ab03e52-9394-4ff4-a6a4-5640b6597e5e]
	general: name = W1A_Bmt_Cannibals
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0.1
	spawn: groupMin = 1
	spawn: groupMax = 32
	spawn: zone = 0

[55da7b22-d9d5-49bd-9d76-a39459cb69e4]
	general: name = W1A_Bmt_Preppers
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 10
	spawn: zone = 0

[cb8880f8-d45c-4051-acb3-a9d7b7d598a7]
	general: name = W1A_James
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 1
	spawn: zone = 0

